Name,Students
建國科技大學,120
明志科技大學,22
明志科技大學,468
明志科技大學,"3,607"
明志科技大學,18
明志科技大學,377
高苑科技大學,69
高苑科技大學,"1,807"
高苑科技大學,170
高苑科技大學,979
高苑科技大學,284
高苑科技大學,201
大仁科技大學,69
大仁科技大學,"3,399"
大仁科技大學,1
大仁科技大學,161
大仁科技大學,266
大仁科技大學,"1,393"
大仁科技大學,100
聖約翰科技大學,93
聖約翰科技大學,"1,482"
聖約翰科技大學,2
聖約翰科技大學,252
聖約翰科技大學,114
聖約翰科技大學,323
聖約翰科技大學,66
聖約翰科技大學,59
嶺東科技大學,255
嶺東科技大學,"7,296"
嶺東科技大學,5
嶺東科技大學,166
嶺東科技大學,"2,788"
中國科技大學,151
中國科技大學,"6,374"
中國科技大學,77
中國科技大學,"1,278"
中國科技大學,460
中國科技大學,2
中國科技大學,473
中臺科技大學,15
中臺科技大學,124
中臺科技大學,"4,638"
中臺科技大學,529
中臺科技大學,18
中臺科技大學,246
中臺科技大學,"1,596"
中臺科技大學,"1,004"
亞洲大學,243
亞洲大學,629
亞洲大學,"9,388"
亞洲大學,387
亞洲大學,774
開南大學,222
開南大學,"4,032"
開南大學,333
開南大學,"1,000"
佛光大學,62
佛光大學,449
佛光大學,"2,825"
佛光大學,122
台南應用科技大學,96
台南應用科技大學,"7,914"
台南應用科技大學,480
台南應用科技大學,"1,002"
台南應用科技大學,105
台南應用科技大學,"2,497"
台南應用科技大學,269
遠東科技大學,274
遠東科技大學,"3,142"
遠東科技大學,43
遠東科技大學,621
遠東科技大學,381
遠東科技大學,263
元培醫事科技大學,1
元培醫事科技大學,270
元培醫事科技大學,"3,673"
元培醫事科技大學,100
元培醫事科技大學,44
元培醫事科技大學,"1,570"
元培醫事科技大學,521
元培醫事科技大學,7
景文科技大學,41
景文科技大學,"5,054"
景文科技大學,4
景文科技大學,45
景文科技大學,"1,050"
景文科技大學,308
景文科技大學,154
中華醫事科技大學,88
中華醫事科技大學,"3,296"
中華醫事科技大學,770
中華醫事科技大學,39
中華醫事科技大學,"3,155"
中華醫事科技大學,27
中華醫事科技大學,626
中華醫事科技大學,683
中華醫事科技大學,40
東南科技大學,126
東南科技大學,"4,392"
東南科技大學,46
東南科技大學,604
德明財經科技大學,32
德明財經科技大學,"6,598"
德明財經科技大學,112
德明財經科技大學,39
德明財經科技大學,500
德明財經科技大學,103
明道大學,28
明道大學,148
明道大學,"1,727"
明道大學,66
明道大學,556
南開科技大學,84
南開科技大學,"2,121"
南開科技大學,545
南開科技大學,73
南開科技大學,677
南開科技大學,161
南開科技大學,94
中華科技大學,226
中華科技大學,"3,218"
中華科技大學,35
中華科技大學,126
中華科技大學,711
中華科技大學,301
中華科技大學,156
僑光科技大學,45
僑光科技大學,"6,247"
僑光科技大學,20
僑光科技大學,"4,295"
僑光科技大學,3
育達科技大學,153
育達科技大學,"1,710"
育達科技大學,220
育達科技大學,950
育達科技大學,929
美和科技大學,116
美和科技大學,"2,293"
美和科技大學,287
美和科技大學,"1,789"
美和科技大學,198
美和科技大學,634
美和科技大學,849
美和科技大學,134
吳鳳科技大學,49
吳鳳科技大學,"3,179"
吳鳳科技大學,59
吳鳳科技大學,809
吳鳳科技大學,733
吳鳳科技大學,229
環球科技大學,171
環球科技大學,"2,241"
環球科技大學,69
環球科技大學,614
環球科技大學,354
環球科技大學,224
台灣首府大學,48
台灣首府大學,870
台灣首府大學,212
中州科技大學,11
中州科技大學,926
中州科技大學,21
中州科技大學,792
中州科技大學,808
中州科技大學,110
修平科技大學,62
修平科技大學,"2,970"
修平科技大學,19
修平科技大學,"1,393"
修平科技大學,25
長庚科技大學,68
長庚科技大學,"3,498"
長庚科技大學,"1,458"
長庚科技大學,7
長庚科技大學,123
長庚科技大學,"1,179"
臺北城市科技大學,89
臺北城市科技大學,"7,012"
臺北城市科技大學,3
臺北城市科技大學,"1,056"
臺北城市科技大學,771
臺北城市科技大學,509
臺北城市科技大學,418
敏實科技大學,2
敏實科技大學,282
敏實科技大學,12
敏實科技大學,272
敏實科技大學,145
敏實科技大學,58
醒吾科技大學,57
醒吾科技大學,"5,601"
醒吾科技大學,42
醒吾科技大學,498
醒吾科技大學,96
醒吾科技大學,927
醒吾科技大學,504
醒吾科技大學,218
文藻外語大學,197
文藻外語大學,"5,011"
文藻外語大學,293
文藻外語大學,"1,607"
文藻外語大學,50
文藻外語大學,"1,685"
文藻外語大學,169
華夏科技大學,37
華夏科技大學,"1,476"
華夏科技大學,75
華夏科技大學,601
華夏科技大學,70
華夏科技大學,870
華夏科技大學,708
華夏科技大學,206
慈濟科技大學,41
慈濟科技大學,"1,280"
慈濟科技大學,276
慈濟科技大學,32
慈濟科技大學,"1,362"
慈濟科技大學,172
致理科技大學,50
致理科技大學,"6,384"
致理科技大學,223
致理科技大學,"1,580"
致理科技大學,44
致理科技大學,"3,288"
致理科技大學,6
康寧大學,24
康寧大學,269
康寧大學,1
康寧大學,"2,783"
康寧大學,26
康寧大學,153
康寧大學,178
康寧大學,31
宏國德霖科技大學,13
宏國德霖科技大學,"2,063"
宏國德霖科技大學,73
宏國德霖科技大學,"1,158"
宏國德霖科技大學,"1,219"
宏國德霖科技大學,787
宏國德霖科技大學,57
東方設計大學,32
東方設計大學,80
東方設計大學,687
東方設計大學,39
東方設計大學,715
東方設計大學,46
東方設計大學,85
東方設計大學,256
東方設計大學,132
崇右影藝科技大學,80
崇右影藝科技大學,"1,650"
崇右影藝科技大學,36
崇右影藝科技大學,510
崇右影藝科技大學,333
台北海洋科技大學,147
台北海洋科技大學,"2,251"
台北海洋科技大學,216
台北海洋科技大學,51
台北海洋科技大學,846
台北海洋科技大學,205
台北海洋科技大學,356
台北海洋科技大學,120
中信金融管理學院,102
中信金融管理學院,694
中信金融管理學院,29
大漢技術學院,81
大漢技術學院,255
大漢技術學院,295
大漢技術學院,239
大漢技術學院,129
和春技術學院,3
和春技術學院,149
和春技術學院,4
和春技術學院,80
和春技術學院,73
和春技術學院,239
和春技術學院,140
亞東技術學院,50
亞東技術學院,"4,018"
亞東技術學院,178
亞東技術學院,142
南亞技術學院,13
南亞技術學院,"1,312"
南亞技術學院,263
南亞技術學院,522
南亞技術學院,"1,193"
南亞技術學院,60
稻江科技暨管理學院,21
稻江科技暨管理學院,122
稻江科技暨管理學院,11
稻江科技暨管理學院,24
稻江科技暨管理學院,98
蘭陽技術學院,226
蘭陽技術學院,216
蘭陽技術學院,66
蘭陽技術學院,5
黎明技術學院,"3,498"
黎明技術學院,423
黎明技術學院,"1,197"
黎明技術學院,73
經國管理暨健康學院,44
經國管理暨健康學院,"1,880"
經國管理暨健康學院,162
經國管理暨健康學院,"1,064"
經國管理暨健康學院,43
經國管理暨健康學院,37
經國管理暨健康學院,776
經國管理暨健康學院,215
大同技術學院,545
大同技術學院,89
大同技術學院,196
大同技術學院,245
大同技術學院,62
臺灣觀光學院,16
臺灣觀光學院,93
臺灣觀光學院,55
臺灣觀光學院,37
臺灣觀光學院,33
臺灣觀光學院,34
馬偕醫學院,5
馬偕醫學院,66
馬偕醫學院,691
馬偕醫學院,15
馬偕醫學院,39
法鼓文理學院,20
法鼓文理學院,231
法鼓文理學院,51
馬偕醫護管理專科學校,32
馬偕醫護管理專科學校,"3,852"
馬偕醫護管理專科學校,222
仁德醫護管理專科學校,"6,117"
仁德醫護管理專科學校,398
樹人醫護管理專科學校,"6,727"
樹人醫護管理專科學校,552
慈惠醫護管理專科學校,97
慈惠醫護管理專科學校,"3,614"
慈惠醫護管理專科學校,266
耕莘健康管理專科學校,"4,574"
耕莘健康管理專科學校,124
敏惠醫護管理專科學校,"3,903"
敏惠醫護管理專科學校,33
育英醫護管理專科學校,"1,991"
聖母醫護管理專科學校,39
聖母醫護管理專科學校,"2,150"
聖母醫護管理專科學校,38
新生醫護管理專科學校,"6,004"
新生醫護管理專科學校,60
崇仁醫護管理專科學校,"3,293"
臺北市立大學,225
臺北市立大學,"1,288"
臺北市立大學,"5,351"
臺北市立大學,"1,122"
